fips,state,name,party_winner,trump_pct,margin,POPULATION_Total,AGE_18_29,AGE_30_44,AGE_45_59,AGE_60_Plus,AGE_18_Plus,RACE_Total__Asian_alone,RACE_Total__Black_or_African_American_alone,RACE_Total__Hispanic_or_Latino,RACE_Total__White_alone,GINI_Gini_Index,INCOME_PER_CAPITA_INCOME_IN_THE_PAST_12_MONTHS__IN_2018_INFLATION_ADJUSTED_DOLLARS_,UNEMPLOY__16_YEARS_AND_OVER__ASIAN_ALONE_,UNEMPLOY__16_YEARS_AND_OVER__BLACK_OR_AFRICAN_AMERICAN_ALONE_,UNEMPLOY__16_YEARS_AND_OVER__HISPANIC_OR_LATINO_,UNEMPLOY__16_YEARS_AND_OVER__WHITE_ALONE_,UNEMPLOY_Total_16_YEARS_AND_OVER,EDU_ATTAIN_Total__Bachelor_s_degree_or_higher,EDU_ATTAIN_Total__High_school_graduate__includes_equivalency_,EDU_ATTAIN_Total__Less_than_high_school_diploma,EDU_ATTAIN_Total__Some_college_or_associate_s_degree,INDUSTRY_Total__Agriculture__forestry__fishing_and_hunting__and_mining__Agriculture__forestry__fishing_and_hunting,INDUSTRY_Total__Agriculture__forestry__fishing_and_hunting__and_mining__Mining__quarrying__and_oil_and_gas_extraction,INDUSTRY_Total__Arts__entertainment__and_recreation__and_accommodation_and_food_services__Accommodation_and_food_services,INDUSTRY_Total__Arts__entertainment__and_recreation__and_accommodation_and_food_services__Arts__entertainment__and_recreation,INDUSTRY_Total__Construction,INDUSTRY_Total__Educational_services__and_health_care_and_social_assistance__Educational_services,INDUSTRY_Total__Educational_services__and_health_care_and_social_assistance__Health_care_and_social_assistance,INDUSTRY_Total__Information,INDUSTRY_Total__Manufacturing,INDUSTRY_Total__Professional__scientific__and_management__and_administrative__and_waste_management_services__Administrative_and_support_and_waste_management_services,INDUSTRY_Total__Professional__scientific__and_management__and_administrative__and_waste_management_services__Management_of_companies_and_enterprises,INDUSTRY_Total__Professional__scientific__and_management__and_administrative__and_waste_management_services__Professional__scientific__and_technical_services,INDUSTRY_Total__Public_administration,INDUSTRY_Total__Retail_trade,CITIZEN_Estimate__Total__Not_a_U_S__citizen,CITIZEN_Estimate__Total__U_S__citizen_by_naturalization,CITIZEN_Estimate__Total__U_S__citizen__born_in_the_United_States,HEALTH_INSURANCE_No_health_insurance_coverage,HEALTH_INSURANCE_With_one_type_of_health_insurance_coverageWith_direct_purchase_health_insurance_only,HEALTH_INSURANCE_With_one_type_of_health_insurance_coverageWith_employer_based_health_insurance_only,HEALTH_INSURANCE_With_one_type_of_health_insurance_coverageWith_Medicaid_means_tested_public_coverage_only,HEALTH_INSURANCE_With_one_type_of_health_insurance_coverageWith_Medicare_coverage_only,HEALTH_INSURANCE_With_one_type_of_health_insurance_coverageWith_TRICARE_military_health_coverage_only,HEALTH_INSURANCE_With_one_type_of_health_insurance_coverageWith_VA_Health_Care_only,VETERANS_Estimate__Total__Veteran
48001,texas,Anderson,republican,0.7861193486291036,0.5803548202486863,57863,0.19252701080432172,0.3083519121934488,0.24622706225347282,0.25289401474875667,46648,0.005513022138499559,0.20982320308314467,0.1752760831619515,0.7353403729498988,0.4225,16868,0,0.004287429257417253,0.0022723375064311437,0.007760246955925227,0.014320013719773624,0.10529926256216772,0.3596081289658721,0.23263591150746013,0.30848053507117135,0.007845995541073573,0.028489967415537644,0.022358943577430974,0.0021651517749957127,0.02238038072371806,0.029904819070485335,0.057472989195678274,0.002036528897273195,0.025424455496484307,0.021372834848225004,0,0.010911507460126908,0.03860830046304236,0.0778597153146973,0.04154641135094966,0.0209460276860861,0.9283998410037503,0.11432430114903104,0.028039787343508833,0.3060795746870177,0.028039787343508833,0.06583347624764191,0.005637969473503687,0.006088149545532499,0.08600583090379009
48003,texas,Andrews,republican,0.8430837455227699,0.698106771277503,17818,0.24579234084071877,0.28774697129847954,0.2466054150743963,0.2198552727864054,12299,0.003535750364799641,0.019811426647210684,0.5600516331799305,0.9240094286676395,0.4506,31190,0,0.01219611350516302,0.015611025286608668,0.018863322221318805,0.0466704610130905,0.10252866086673713,0.46133832018863324,0.36881047239612974,0.3194568664119034,0.008537279453614115,0.16789982925441094,0.0351248068948695,0.0036588340515489063,0.05195544353199447,0.03675095536222457,0.0656963980811448,0.009512968534027156,0.036100495975282546,0.022766078542970972,0.003252296934710139,0.014797951052931132,0.013171802585576063,0.07732335962273355,0.09804691884611068,0.04736783028398249,0.850207655180155,0.17505488251077322,0.043255549231644846,0.5113423855598016,0.030083746646068787,0.05593950727701439,0,0.0033336043580778924,0.05569558500691113
48005,texas,Angelina,republican,0.7239805937391706,0.4601478572253667,87607,0.20853744954863357,0.24515512832362818,0.2586036910373725,0.28770373109036573,64914,0.011494515278459483,0.14795621354457977,0.2188637894232196,0.7918545321720867,0.4495,22322,0,0.012416427889207259,0.009581908371075577,0.03202698955541178,0.05402532581569461,0.15663801337153774,0.3147549064916659,0.21517700341990942,0.3062513479372708,0.01109159811442832,0.010768093169424162,0.04401207751794682,0.005099054133160797,0.03768062359429399,0.04958868656992328,0.09283051421881258,0.0029269495024185845,0.06462396401392612,0.024524755830791507,3.080999476230089e-4,0.018578426841667436,0.023323166035061776,0.07383615244785409,0.05841998927026379,0.02619653680641958,0.9097446551074686,0.20440891025048527,0.05809224512431833,0.35111070031118097,0.05778414517669532,0.07355886249499338,0.001833194688356903,0.006084973965554426,0.091336229472841
48007,texas,Aransas,republican,0.7518105622914801,0.5145251851249084,24763,0.1474755537816803,0.1718718818599082,0.25244462183196964,0.42820794252644184,20044,0.01970682065985543,0.015385857933206801,0.27282639421717886,0.8926220571013205,0.5351,30939,0,0,0.00618638994212732,0.03158052284973059,0.03776691279185791,0.21168429455198562,0.2992416683296747,0.1852424665735382,0.3394532029535023,0.005887048493314707,0.018010377170225505,0.057024545998802634,0.02324885252444622,0.06286170425064858,0.0432049491119537,0.05278387547395729,0.0026441827978447414,0.025244462183196967,0.01940730393135103,0,0.02205148672919577,0.030682498503292757,0.05413091199361405,0.039979000928805075,0.031579372450833906,0.9146710818559949,0.20694472161245261,0.07982438635002993,0.2527439632807823,0.026541608461384952,0.10816204350429057,0.007333865495909,0.004689682698064259,0.12891638395529834
48009,texas,Archer,republican,0.896580483736447,0.8035863219349458,8789,0.16315253744365277,0.20808492075032717,0.28180892831176385,0.34695361349425624,6877,0.0053475935828877,0.009216065536466037,0.08271703265445443,0.9482307429741723,0.4316,31806,0,0,0.002472008143085648,0.020503126363239785,0.022975134506325434,0.21012069216228008,0.3055111240366439,0.09698996655518395,0.3103097280791043,0.034026465028355386,0.02820997527991857,0.014977461102224808,0.008579322378944307,0.04696815471862731,0.04275119965101062,0.12316417042314963,0.006107314235858659,0.04914933837429111,0.021084775338083468,0,0.027773738548785808,0.03388105278464447,0.08041297077213902,0.01922858118102173,0.006712936625327113,0.9711002389350324,0.12796277446561,0.07735931365420969,0.4221317434928021,0.02544714264941108,0.07372400756143667,0.011778391740584556,1.4541224371092046e-4,0.09088265231932528
48011,texas,Armstrong,republican,0.9307553956834532,0.8633093525179856,1916,0.13355263157894737,0.2019736842105263,0.3157894736842105,0.34868421052631576,1520,0,0.0036534446764091857,0.06837160751565761,0.9551148225469729,0.3662,31075,0,0,0,0.0059210526315789476,0.0059210526315789476,0.2131578947368421,0.2532894736842105,0.11710526315789474,0.3703947368421053,0.08947368421052632,0,0.025657894736842105,0.01118421052631579,0.07105263157894737,0.07763157894736843,0.08486842105263158,0,0.04802631578947368,0.007236842105263158,0,0.024342105263157894,0.05526315789473684,0.045394736842105265,0.0036534446764091857,0.016701461377870562,0.9780793319415448,0.09276315789473684,0.0875,0.4361842105263158,0.005263157894736842,0.11578947368421053,0,0.0059210526315789476,0.10855263157894737
48013,texas,Atascosa,republican,0.664550673437845,0.34019651137116363,48828,0.21414393466795215,0.26019395451709865,0.24882322917257416,0.2768388816423751,35266,0.0031129679691980013,0.0025395265011878432,0.6389776357827476,0.9276030146637175,0.451,24421,0,0,0.04165485169851982,0.04633357908467079,0.0879884307831906,0.14470027788805082,0.5478080871093971,0.3563488912833891,0.2944762660919866,0.014149605852662622,0.0400385640560313,0.03881925934327681,0.006918845346792945,0.06867804684398571,0.04188169908693926,0.06570067487098055,0.004310100379969375,0.042392105710883005,0.019026824703680598,3.969829297340214e-4,0.017637384449611524,0.03130493960188283,0.07063460556910339,0.04091914475301057,0.02150405505038093,0.9311051036290653,0.18235694436567798,0.053535983666988037,0.3902625758520955,0.060624964555095556,0.06408438722849204,0.018771621391708727,0.006550218340611353,0.09201497192763568
48015,texas,Austin,republican,0.7865191699876323,0.5837570427373918,29565,0.18121104185218165,0.21682991985752448,0.2737310774710597,0.3282279608192342,22460,0.003010316252325385,0.08882124133265686,0.26446812108912565,0.8053441569423304,0.4278,30858,0,0.00672306322350846,0.004185218165627782,0.022083704363312556,0.0329919857524488,0.22355298308103294,0.28521816562778274,0.21081923419412288,0.293900267141585,0.013757791629563669,0.01674087266251113,0.030899376669634906,0.003873552983081033,0.05988423864648264,0.050845948352626895,0.07408726625111309,0.005387355298308103,0.07190560997328584,0.02195013357079252,1.335707925200356e-4,0.03664292074799644,0.030365093499554765,0.08027604630454141,0.07123287671232877,0.037104684593269065,0.8897344833417893,0.13953695458593054,0.07742653606411398,0.43944790739091716,0.02711487088156723,0.0827693677649154,0.006544968833481745,0.0058325912733748885,0.06478183437221728
48017,texas,Bailey,republican,0.771382463690156,0.551371705217859,7092,0.22198105761641673,0.27663772691397,0.2132991318074191,0.2880820836621942,5068,0.009870276367738297,0.007896221094190638,0.6426959954878737,0.8343203609701072,0.4342,21449,0,0,0.0033543804262036307,0.014601420678768745,0.017955801104972375,0.14127861089187055,0.43074191002367795,0.3642462509865825,0.255524861878453,0.13180741910023677,0.02367797947908445,0.03946329913180742,0,0.041831097079715863,0.04419889502762431,0.036306235201262825,0.005327545382794002,0.04696132596685083,0.008484609313338595,0,0.015982636148382006,0.02920284135753749,0.08701657458563536,0.13028764805414553,0.05485053581500282,0.8138747884940778,0.24052880820836622,0.04321231254932913,0.3758879242304657,0.05130228887134965,0.05090765588003157,0,0,0.057813733228097866
48019,texas,Bandera,republican,0.7911422278162367,0.5940843297671492,21763,0.12519440124416797,0.1712397245056654,0.26649633414796714,0.4370695401021995,18004,0.0027110232964205304,0.0079033221522768,0.18425768506180215,0.9120525662822221,0.4245,28539,0,0,0.008331481892912686,0.026660742057320594,0.034992223950233284,0.23133748055987557,0.31870695401022,0.13030437680515441,0.3447011775161075,0.02460564319040213,0.013108198178182626,0.021439680071095313,0.010164407909353477,0.061430793157076204,0.04487891579648967,0.07781604087980448,0.010664296822928238,0.03482559431237503,0.01349700066651855,0,0.01938458120417685,0.022495001110864252,0.05382137302821595,0.028213022101732297,0.022790975508891236,0.9399439415521758,0.18368140413241502,0.07681626305265496,0.28960231059764496,0.01832926016440791,0.07903799155743169,0.01649633414796712,0.014718951344145746,0.14630082203954678
